,group_id,artist_id
1,101159,738
2,101159,1516
3,101599,861
4,100102,1786
5,100102,270
6,101221,957
7,101221,5551
8,101761,845
9,101761,508
10,101761,263
11,101012,477
12,101012,7969
13,101522,35088
14,101522,5323
15,100148,508
16,100148,1861
17,101078,1541
18,100712,532
19,100712,3741
20,100161,1868
21,100161,1870
22,100161,1869
23,101669,5
24,101669,8311
25,101669,673672
26,101669,673670
27,100149,845
28,100149,628311
29,100149,1837
30,101737,177708
31,100025,2912484
32,101731,5247
33,101731,24555
34,101731,11376
35,101464,858613
36,101464,858615
37,101464,4460
38,101464,716631
39,101781,47233
40,100977,3614
41,100977,5136
42,100950,24555
43,100950,10583
44,100080,1747
45,101016,983
46,101016,6308
47,101016,3788
48,100594,3258
49,100594,673674
50,100594,1037
51,100594,2639196
52,101465,261881
53,101465,981129
54,106610,1716
55,106610,1717
56,106610,1635
57,100169,925
58,100514,687
59,100514,2969
60,100004,1574
61,100004,407064
62,100004,428760
63,101206,5211
64,100179,885
65,100179,1915
66,100005,1576
67,100005,5228
68,100005,1577
69,100026,1628
70,100026,33930
71,100015,25586
72,100015,1603
73,100037,1874
74,100037,638571
75,100037,1873
76,180144,827
77,180144,942
78,101108,6229
79,101108,562
80,101108,8797
81,100141,1844
82,100059,1692
83,100059,548680
84,100059,5199
85,101872,746
86,101872,24044
87,101872,4645
88,101872,6622
89,101872,5881
90,101872,784970
91,100984,476140
92,100984,5993
93,100984,5995
94,100061,1088
95,100061,1136
96,100187,786633
97,100187,2753164
98,100057,1690
99,100057,1691
100,100137,12946
101,100137,1840
102,100003,1571
103,100042,1648
104,100042,1649
105,100008,1586
106,100008,1583
107,100008,1582
108,100008,1585
109,100008,1584
110,446117,845
111,446117,38
112,101576,11245
113,101576,59287
114,100023,1624
115,100023,678811
116,100043,4267
117,100043,402920
118,100043,2640941
119,101561,1866
120,101561,6431
121,101225,166516
122,101225,836
123,2868449,250969
124,2868449,2868451
125,101013,751
126,101013,753
127,101013,722770
128,100052,1682
129,100052,1679
130,100052,1681
131,100052,1680
132,100054,1686
133,100054,859596
134,100167,150039
135,100167,6569
136,100167,1066741
137,100130,1829
138,100130,1828
139,100170,1088
140,100170,925
141,100094,1767
142,100094,646691
143,100094,8874
144,100016,432
145,100016,1605
146,100016,1604
147,100010,1591
148,100010,1588
149,100010,1590
150,100770,874822
151,100770,694391
152,100770,915105
153,100770,2903951
154,100065,1713
155,100065,1714
156,100065,1712
157,100065,1715
158,100168,923
159,100168,1893
160,100168,672283
161,100168,672285
162,100168,745049
163,100035,1641
164,100035,1239188
165,102213,17671
166,100032,1638
167,100032,1636
168,100032,1639
169,100032,1637
170,100126,412380
171,100126,1816
172,100126,1818
173,100126,1817
174,100120,411500
175,100001,1565
176,100001,3893
177,100001,605902
178,100016,432
179,100016,1605
180,100016,1604
181,100001,1565
182,100001,3893
183,100001,605902
184,100059,1692
185,100059,548680
186,100059,5199
187,100094,1767
188,100094,646691
189,100094,8874
190,100008,1586
191,100008,1583
192,100008,1582
193,100008,1585
194,100008,1584
195,100065,1713
196,100065,1714
197,100065,1712
198,100065,1715
199,100052,1682
200,100052,1679
201,100052,1681
202,100052,1680
203,100130,1829
204,100130,1828
205,100120,411500
206,100770,874822
207,100770,694391
208,100770,915105
209,100770,2903951
210,100168,923
211,100168,1893
212,100168,672283
213,100168,672285
214,100168,745049
215,100712,532
216,100712,3741
217,100043,4267
218,100043,402920
219,100043,2640941
220,100055,1688
221,100055,1689
222,100004,1574
223,100004,407064
224,100004,428760
225,100022,5907
226,100022,6914
227,100022,674108
228,100126,412380
229,100126,1816
230,100126,1818
231,100126,1817
232,100007,182430
233,100007,1580
234,100007,225888
235,100007,1115
236,100007,1578
237,100127,3878
238,100127,1820
239,100127,1819
240,106610,1716
241,106610,1717
242,106610,1635
243,100054,1686
244,100054,859596
245,100099,171035
246,100099,1776
247,100057,1690
248,100057,1691
249,101714,845
250,101714,11309
251,100078,1738
252,100078,1739
253,100078,1740
254,100078,1741
255,100078,1742
256,100078,1743
257,100141,1844
258,100136,1838
259,100136,2935902
260,100136,217911
261,100136,1496
262,100035,1641
263,100035,1239188
264,100032,1638
265,100032,1636
266,100032,1639
267,100032,1637
268,100096,2757431
269,100096,2760749
270,100096,1773
271,100096,724944
272,101509,1870
273,101509,198094
274,101509,100054
275,101509,712452
276,101509,775197
277,101509,895741
278,101509,100001
279,100021,5766
280,100075,1654
281,100075,2857420
282,100073,11270
283,100073,685405
284,100073,685407
285,101115,168435
286,101115,228630
287,100093,673582
288,100093,673583
289,100990,106610
290,100990,100028
291,100990,100068
292,100990,1795
293,100990,100779
294,100990,6027
295,100063,2062364
296,100063,5986
297,100063,2856270
298,100010,1591
299,100010,1588
300,100010,1590
301,100332,1088
302,100332,3238
303,100332,1890
304,100332,455960
305,100332,2956
306,100332,1552
307,100183,1928
308,100183,1929
309,160072,108316
310,160072,175404
311,160072,2165
312,160072,247639
313,160072,228069
314,160072,1582
315,160072,108965
316,160072,168015
317,160072,1030
318,160072,198656
319,160072,13599
320,160072,744686
321,160072,428501
322,160072,780066
323,160072,991413
324,160072,960278
325,160072,1066419
326,160072,786029
327,160072,724619
328,160072,1228017
329,160072,663691
330,160072,244871
331,160072,838961
332,160072,248146
333,160072,209427
334,160072,251847
335,160072,626151
336,160072,2296946
